,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
89240,543832,22624,IVORY KITCHEN SCALES,2,2011-02-14 10:10:00,8.5,13381.0,United Kingdom
88022,543748,90057,DIAMANTE RING ASSORTED IN BOX.,48,2011-02-11 13:54:00,1.25,12913.0,United Kingdom
465322,576222,23084,RABBIT NIGHT LIGHT,24,2011-11-14 13:02:00,1.79,12490.0,France
441044,574560,21265,PINK GOOSE FEATHER TREE 60CM,12,2011-11-04 15:51:00,1.95,17703.0,United Kingdom
448208,575039,21810,CHRISTMAS HANGING STAR WITH BELL,10,2011-11-08 11:53:00,0.39,15005.0,United Kingdom
419487,572833,23035,DRAWER KNOB CERAMIC IVORY,6,2011-10-26 11:41:00,1.45,12748.0,United Kingdom
42625,540014,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,2011-01-04 11:34:00,0.85,14606.0,United Kingdom
523245,580504,23579,SNACK TRAY I LOVE LONDON,1,2011-12-04 13:32:00,1.95,17936.0,United Kingdom
358575,568154,23397,FOOT STOOL HOME SWEET HOME ,1,2011-09-25 12:06:00,9.95,13787.0,United Kingdom
146406,548987,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,2011-04-05 12:50:00,1.25,14535.0,United Kingdom
365484,568709,23351,ROLL WRAP 50'S CHRISTMAS,2,2011-09-28 15:42:00,1.25,15036.0,United Kingdom
28653,538652,21684,SMALL MEDINA STAMPED METAL BOWL ,12,2010-12-13 15:12:00,0.85,17890.0,United Kingdom
153664,549787,21875,KINGS CHOICE MUG,6,2011-04-12 11:58:00,1.25,13268.0,United Kingdom
3339,536623,21355,TOAST ITS - I LOVE YOU ,24,2010-12-02 10:39:00,1.25,15601.0,United Kingdom
344466,567074,23209,LUNCH BAG VINTAGE DOILY ,5,2011-09-16 12:22:00,1.65,17068.0,United Kingdom
186080,552845,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2011-05-11 14:37:00,1.45,14646.0,Netherlands
393120,570797,20712,JUMBO BAG WOODLAND ANIMALS,100,2011-10-12 12:24:00,1.79,15311.0,United Kingdom
24228,538346,21175,GIN + TONIC DIET METAL SIGN,12,2010-12-10 14:53:00,2.1,17865.0,United Kingdom
209062,555158,20978,36 PENCILS TUBE SKULLS,16,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
144203,548732,22380,TOY TIDY SPACEBOY  ,5,2011-04-04 10:16:00,2.1,16142.0,United Kingdom
342545,566872,22995,TRAVEL CARD WALLET SUKI,24,2011-09-15 13:28:00,0.42,16729.0,United Kingdom
344990,567128,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2011-09-16 14:04:00,2.95,18055.0,United Kingdom
221774,556279,23301,GARDENERS KNEELING PAD KEEP CALM ,1,2011-06-09 19:55:00,1.65,14562.0,United Kingdom
88574,543808,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,2011-02-13 13:22:00,1.65,17454.0,United Kingdom
205424,554809,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,2011-05-26 13:13:00,1.45,16838.0,United Kingdom
87228,543645,22383,LUNCH BAG SUKI  DESIGN ,1,2011-02-10 17:54:00,1.65,17609.0,United Kingdom
152834,549693,21242,RED RETROSPOT PLATE ,8,2011-04-11 13:43:00,1.69,14696.0,United Kingdom
236458,557758,22501,PICNIC BASKET WICKER LARGE,1,2011-06-22 13:28:00,9.95,17585.0,United Kingdom
164432,550639,22906,12 MESSAGE CARDS WITH ENVELOPES,12,2011-04-19 15:46:00,1.65,14152.0,United Kingdom
96193,544479,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,288,2011-02-21 10:28:00,1.45,14646.0,Netherlands
380959,569843,23270,SET OF 2 CERAMIC PAINTED HEARTS ,3,2011-10-06 13:29:00,1.45,14449.0,United Kingdom
384213,570111,21811,HANGING HEART WITH BELL,10,2011-10-07 12:28:00,0.39,15005.0,United Kingdom
469632,576600,22112,CHOCOLATE HOT WATER BOTTLE,1,2011-11-15 15:08:00,4.95,18181.0,United Kingdom
149989,549317,23008,DOLLY GIRL BABY GIFT SET,1,2011-04-08 09:58:00,16.95,15109.0,United Kingdom
165082,550767,22432,WATERING CAN PINK BUNNY,6,2011-04-20 12:32:00,1.95,14776.0,United Kingdom
365349,568703,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-09-28 15:21:00,2.95,12748.0,United Kingdom
476998,577046,22471,TV DINNER TRAY AIR HOSTESS ,3,2011-11-17 13:46:00,4.95,12449.0,Belgium
369403,569027,23236,STORAGE TIN VINTAGE DOILY ,6,2011-09-30 10:19:00,2.89,13089.0,United Kingdom
333114,566173,22078,RIBBON REEL LACE DESIGN ,20,2011-09-09 12:24:00,2.1,12787.0,Netherlands
114616,546030,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-03-09 08:59:00,1.95,14013.0,United Kingdom
497364,578365,22071,SMALL WHITE RETROSPOT MUG IN BOX ,36,2011-11-24 10:46:00,1.0,15482.0,United Kingdom
301535,563333,48187,DOORMAT NEW ENGLAND,1,2011-08-15 13:09:00,7.95,15996.0,United Kingdom
233231,557466,22819,"BIRTHDAY CARD, RETRO SPOT",12,2011-06-20 13:08:00,0.42,13815.0,Germany
532903,581000,22960,JAM MAKING SET WITH JARS,12,2011-12-07 08:03:00,3.75,12720.0,Germany
492183,578094,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2011-11-22 17:23:00,2.95,16261.0,United Kingdom
243111,558418,22993,SET OF 4 PANTRY JELLY MOULDS,6,2011-06-29 11:35:00,1.06,12901.0,United Kingdom
66248,541785,21761,WOOD AND GLASS MEDICINE CABINET,1,2011-01-21 12:40:00,29.95,14779.0,United Kingdom
485371,577598,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,2011-11-21 08:19:00,8.5,13430.0,United Kingdom
136360,547963,22692,DOORMAT WELCOME TO OUR HOME,2,2011-03-28 15:42:00,7.95,13037.0,United Kingdom
252270,559106,23006,TRAVEL CARD WALLET FLOWER MEADOW,2,2011-07-06 11:10:00,0.42,15889.0,United Kingdom
349254,567483,23014,GLASS APOTHECARY BOTTLE ELIXIR,4,2011-09-20 13:45:00,3.95,16584.0,United Kingdom
25706,538379,22110,BIRD HOUSE HOT WATER BOTTLE,1,2010-12-12 11:26:00,2.55,17126.0,United Kingdom
294149,562688,21908,CHOCOLATE THIS WAY METAL SIGN,3,2011-08-08 13:53:00,2.1,13869.0,United Kingdom
355909,567979,23025,DRAWER KNOB VINTAGE GLASS BALL,6,2011-09-23 10:44:00,2.08,14215.0,United Kingdom
275609,560997,22551,PLASTERS IN TIN SPACEBOY,12,2011-07-22 13:59:00,1.65,12627.0,Germany
345728,567176,82484,WOOD BLACK BOARD ANT WHITE FINISH,4,2011-09-18 13:40:00,7.95,15533.0,United Kingdom
73616,542369,22492,MINI PAINT SET VINTAGE ,36,2011-01-27 13:08:00,0.65,12645.0,Germany
104005,545085,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-28 11:19:00,2.95,15039.0,United Kingdom
516535,579927,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,6,2011-12-01 09:20:00,2.89,12572.0,Germany
386621,570241,21162,TOXIC AREA  DOOR HANGER ,2,2011-10-09 15:24:00,0.39,14801.0,United Kingdom
63098,541518,21209,MULTICOLOUR HONEYCOMB FAN,48,2011-01-19 09:05:00,0.65,12451.0,Switzerland
427224,573379,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2011-10-30 14:03:00,4.95,15680.0,United Kingdom
187321,552961,23284,DOORMAT KEEP CALM AND COME IN,2,2011-05-12 12:54:00,7.95,15489.0,United Kingdom
220360,556186,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2011-06-09 11:46:00,0.55,14241.0,United Kingdom
116486,546250,85194L,HANGING SPRING FLOWER EGG LARGE,12,2011-03-10 14:14:00,0.85,14350.0,United Kingdom
31636,539002,22111,SCOTTIE DOG HOT WATER BOTTLE,4,2010-12-15 12:30:00,4.95,14527.0,United Kingdom
375306,569457,22302,COFFEE MUG PEARS  DESIGN,4,2011-10-04 11:29:00,2.55,14606.0,United Kingdom
273888,560864,20984,12 PENCILS TALL TUBE POSY,24,2011-07-21 13:54:00,0.29,14407.0,United Kingdom
343058,566930,22383,LUNCH BAG SUKI DESIGN ,10,2011-09-15 15:26:00,1.65,15417.0,United Kingdom
503313,578922,23552,BICYCLE PUNCTURE REPAIR KIT ,11,2011-11-27 12:00:00,2.08,17236.0,United Kingdom
190999,553228,22526,WHEELBARROW FOR CHILDREN ,1,2011-05-16 10:48:00,12.75,16496.0,United Kingdom
288139,562132,23206,LUNCH BAG APPLE DESIGN,60,2011-08-03 09:40:00,1.65,13384.0,United Kingdom
11614,537255,20718,RED RETROSPOT SHOPPER BAG,10,2010-12-06 11:03:00,1.25,14443.0,United Kingdom
29780,538826,22296,HEART IVORY TRELLIS LARGE,24,2010-12-14 12:58:00,1.65,12370.0,Cyprus
205966,554854,22077,6 RIBBONS RUSTIC CHARM,12,2011-05-27 09:39:00,1.65,16369.0,United Kingdom
223049,556471,23091,ZINC HERB GARDEN CONTAINER,8,2011-06-12 11:47:00,6.25,16466.0,United Kingdom
250129,559004,21577,SAVE THE PLANET COTTON TOTE BAG,6,2011-07-05 12:23:00,2.25,12428.0,Finland
95062,544441,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,2011-02-20 10:29:00,2.55,16566.0,United Kingdom
375270,569424,23537,WALL ART I LOVE LONDON ,2,2011-10-04 10:49:00,4.95,15529.0,United Kingdom
258929,559676,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,2011-07-11 14:40:00,1.65,17340.0,United Kingdom
216236,555835,21463,MIRRORED DISCO BALL ,1,2011-06-07 12:34:00,5.95,14525.0,United Kingdom
126039,547063,21445,12 PINK ROSE PEG PLACE SETTINGS,4,2011-03-20 13:33:00,1.25,14769.0,United Kingdom
315975,564740,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2011-08-28 14:39:00,2.95,14044.0,United Kingdom
174585,551824,22348,TEA BAG PLATE RED RETROSPOT,12,2011-05-04 12:32:00,0.85,15128.0,United Kingdom
436280,574097,23347,I LOVE LONDON BEAKER,12,2011-11-03 09:56:00,1.25,12471.0,Germany
180811,552358,22431,WATERING CAN BLUE ELEPHANT,6,2011-05-09 12:20:00,1.95,15673.0,United Kingdom
122006,546846,22561,WOODEN SCHOOL COLOURING SET,2,2011-03-17 12:47:00,1.65,13533.0,United Kingdom
25313,538367,85071D,CHARLIE+LOLA MY ROOM DOOR SIGN,2,2010-12-12 10:48:00,2.55,14800.0,United Kingdom
155184,549976,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2011-04-13 14:39:00,0.85,15855.0,United Kingdom
223739,556489,21390,FILIGRIS HEART WITH BUTTERFLY,3,2011-06-12 13:59:00,1.25,14704.0,United Kingdom
424708,573280,23085,ANTIQUE SILVER BAUBLE LAMP  ,2,2011-10-28 13:42:00,10.4,14221.0,United Kingdom
475305,576876,22865,HAND WARMER OWL DESIGN,4,2011-11-16 16:42:00,2.1,16804.0,United Kingdom
83463,543306,20978,36 PENCILS TUBE SKULLS,2,2011-02-07 11:56:00,1.25,16686.0,United Kingdom
459939,575886,21232,STRAWBERRY CERAMIC TRINKET POT,4,2011-11-11 13:57:00,1.25,12517.0,Germany
361994,568400,85130C,BEADED CRYSTAL HEART BLUE  LARGE,24,2011-09-27 10:27:00,0.79,13644.0,United Kingdom
105783,545288,21883,STARS GIFT TAPE ,12,2011-03-01 11:48:00,0.65,15311.0,United Kingdom
37452,539466,82613D,METAL SIGN CUPCAKE SINGLE HOOK,20,2010-12-19 12:46:00,0.42,12668.0,Germany
12256,537372,22386,JUMBO BAG PINK POLKADOT,1,2010-12-06 12:52:00,1.95,16919.0,United Kingdom
453598,575487,23314,VINTAGE CHRISTMAS TABLECLOTH,2,2011-11-09 17:11:00,12.5,15450.0,United Kingdom
197305,553895,22621,TRADITIONAL KNITTING NANCY,12,2011-05-19 17:18:00,1.65,15271.0,United Kingdom
416450,572552,85099B,JUMBO BAG RED RETROSPOT,1,2011-10-24 17:07:00,4.13,14096.0,United Kingdom
438240,574310,22182,CAKE STAND VICTORIAN FILIGREE SMALL,6,2011-11-03 16:56:00,4.95,13467.0,United Kingdom
87308,543652,20677,PINK POLKADOT BOWL,8,2011-02-11 10:15:00,1.25,15544.0,United Kingdom
141400,548511,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2011-03-31 15:43:00,2.95,14056.0,United Kingdom
478563,577092,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,2011-11-17 16:35:00,2.1,15136.0,United Kingdom
246983,558751,84674,FLYING PIG WATERING CAN,2,2011-07-03 11:26:00,2.95,16009.0,United Kingdom
77119,542710,21679,SKULLS  STICKERS,48,2011-01-31 13:17:00,0.85,14776.0,United Kingdom
340680,566709,21975,PACK OF 60 DINOSAUR CAKE CASES,120,2011-09-14 11:58:00,0.42,16745.0,United Kingdom
131531,547568,22199,FRYING PAN RED RETROSPOT,4,2011-03-24 09:50:00,4.25,13341.0,United Kingdom
523326,580505,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-12-04 13:32:00,1.69,15867.0,United Kingdom
454834,575602,21484,CHICK GREY HOT WATER BOTTLE,1,2011-11-10 12:27:00,4.25,17059.0,United Kingdom
468204,576399,23319,BOX OF 6 MINI 50'S CRACKERS,12,2011-11-15 10:50:00,2.49,12684.0,France
307985,563933,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2011-08-21 15:54:00,2.95,16536.0,United Kingdom
144028,548715,22088,PAPER BUNTING COLOURED LACE,2,2011-04-03 15:22:00,2.95,17758.0,United Kingdom
286561,562031,20750,RED RETROSPOT MINI CASES,1,2011-08-01 17:37:00,7.95,16984.0,United Kingdom
462538,575981,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,2011-11-13 13:41:00,0.42,15500.0,United Kingdom
339286,566585,84997B,CHILDRENS CUTLERY RETROSPOT RED ,4,2011-09-13 14:06:00,4.15,16409.0,United Kingdom
499621,578679,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-11-25 08:12:00,2.08,15117.0,United Kingdom
207322,554985,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,2011-05-29 12:26:00,1.65,12426.0,Germany
68227,541856,21439,BASKET OF TOADSTOOLS,6,2011-01-23 15:16:00,1.25,17673.0,United Kingdom
365029,568690,23321,SMALL WHITE HEART OF WICKER,5,2011-09-28 14:43:00,1.65,16332.0,United Kingdom
145934,548920,22244,3 HOOK HANGER MAGIC GARDEN,12,2011-04-05 10:19:00,1.95,13018.0,United Kingdom
288895,562213,21982,PACK OF 12 SUKI TISSUES ,6,2011-08-03 13:39:00,0.29,13975.0,United Kingdom
523253,580504,23281,FOLDING BUTTERFLY MIRROR RED  ,5,2011-12-04 13:32:00,0.83,17936.0,United Kingdom
449204,575087,22629,SPACEBOY LUNCH BOX ,1,2011-11-08 13:57:00,1.95,16549.0,United Kingdom
323206,565250,22384,LUNCH BAG PINK POLKADOT,10,2011-09-02 10:42:00,1.65,13643.0,United Kingdom
284965,561894,21624,VINTAGE UNION JACK DOORSTOP,1,2011-07-31 15:00:00,5.95,14456.0,United Kingdom
509566,579358,23395,BELLE JARDINIERE CUSHION COVER,4,2011-11-29 11:50:00,3.75,16992.0,United Kingdom
338738,566564,22996,TRAVEL CARD WALLET VINTAGE TICKET,6,2011-09-13 12:26:00,0.42,15522.0,United Kingdom
227692,556903,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2011-06-15 12:55:00,8.5,14527.0,United Kingdom
135099,547881,35913B,WHITE/PINK CHICK EASTER DECORATION,4,2011-03-27 16:08:00,0.85,13110.0,United Kingdom
272109,560732,22619,SET OF 6 SOLDIER SKITTLES,2,2011-07-20 14:55:00,3.75,14056.0,United Kingdom
73482,542353,22976,CIRCUS PARADE CHILDRENS EGG CUP ,12,2011-01-27 12:19:00,1.25,16700.0,United Kingdom
300919,563216,22705,WRAP GREEN PEARS ,25,2011-08-14 13:14:00,0.42,17841.0,United Kingdom
132654,547684,22614,PACK OF 12 SPACEBOY TISSUES,24,2011-03-24 14:46:00,0.29,12408.0,Belgium
285905,561933,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-08-01 12:56:00,1.25,12949.0,United Kingdom
501183,578824,22471,TV DINNER TRAY AIR HOSTESS ,1,2011-11-25 14:02:00,4.95,17883.0,United Kingdom
504163,578943,23426,METAL SIGN DROP YOUR PANTS,4,2011-11-27 13:35:00,2.89,15009.0,United Kingdom
138858,548214,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-03-30 09:17:00,1.45,13720.0,United Kingdom
45879,540288,48187,DOORMAT NEW ENGLAND,1,2011-01-06 12:45:00,7.95,17634.0,United Kingdom
14861,537623,22082,RIBBON REEL STRIPES DESIGN ,5,2010-12-07 14:31:00,1.65,15858.0,United Kingdom
174143,551747,22092,BLUE PAISLEY TISSUE BOX,36,2011-05-04 11:00:00,0.42,14298.0,United Kingdom
396908,571105,23371,SET 36 COLOUR PENCILS SPACEBOY ,2,2011-10-13 16:01:00,1.25,17614.0,United Kingdom
527513,580723,21175,GIN AND TONIC DIET METAL SIGN,12,2011-12-05 17:09:00,2.55,15856.0,United Kingdom
360700,568301,21804,WHITE CHRISTMAS GARLAND STARS TREES,2,2011-09-26 12:45:00,3.75,16383.0,United Kingdom
440761,574547,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,3,2011-11-04 15:08:00,1.25,17841.0,United Kingdom
77044,542678,79321,CHILLI LIGHTS,2,2011-01-31 12:21:00,4.95,14688.0,United Kingdom
270035,560539,21155,RED RETROSPOT PEG BAG,5,2011-07-19 12:19:00,2.55,16745.0,United Kingdom
63382,541567,22616,PACK OF 12 LONDON TISSUES ,24,2011-01-19 11:51:00,0.29,12681.0,France
421141,572921,23147,SINGLE ANTIQUE ROSE HOOK IVORY,1,2011-10-26 16:57:00,1.45,15993.0,United Kingdom
384362,570117,22440,BALLOON WATER BOMB PACK OF 35,60,2011-10-07 12:42:00,0.42,15815.0,United Kingdom
456256,575681,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2011-11-10 15:32:00,0.55,16903.0,United Kingdom
451772,C575224,22386,JUMBO BAG PINK POLKADOT,-100,2011-11-09 11:41:00,1.79,17511.0,United Kingdom
462724,575988,23505,PLAYING CARDS I LOVE LONDON ,12,2011-11-13 14:18:00,1.25,13018.0,United Kingdom
305423,563690,22469,HEART OF WICKER SMALL,12,2011-08-18 12:53:00,1.65,15152.0,United Kingdom
185,536388,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-01 09:59:00,7.95,16250.0,United Kingdom
39760,539675,21463,MIRRORED DISCO BALL ,16,2010-12-21 10:51:00,4.95,12971.0,United Kingdom
193040,553505,47566,PARTY BUNTING,4,2011-05-17 13:27:00,4.95,12949.0,United Kingdom
312571,564356,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5,2011-08-24 15:47:00,2.08,13969.0,United Kingdom
498421,578519,20979,36 PENCILS TUBE RED RETROSPOT,1,2011-11-24 13:56:00,1.25,14591.0,United Kingdom
302418,563430,21415,CLAM SHELL SMALL ,6,2011-08-16 11:50:00,2.1,14918.0,United Kingdom
177825,552183,23055,IVORY CHANDELIER T-LIGHT HOLDER,2,2011-05-06 13:43:00,6.25,17604.0,United Kingdom
165365,550784,22359,GLASS JAR KINGS CHOICE,6,2011-04-20 13:59:00,2.95,13269.0,United Kingdom
447776,574962,23486,ANTIQUE HEART SHELF UNIT,2,2011-11-08 10:26:00,16.65,15194.0,United Kingdom
91953,544162,22291,HANGING CHICK CREAM DECORATION,3,2011-02-16 13:00:00,1.45,14959.0,United Kingdom
26107,538497,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-12-12 12:44:00,3.75,14684.0,United Kingdom
209067,555158,22585,PACK OF 6 BIRDY GIFT TAGS,12,2011-06-01 08:38:00,1.25,14842.0,United Kingdom
508194,579196,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,3,2011-11-28 15:54:00,1.63,14096.0,United Kingdom
147055,549048,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-04-06 10:14:00,1.65,17811.0,United Kingdom
110713,545695,22979,PANTRY WASHING UP BRUSH,8,2011-03-06 14:15:00,1.45,17050.0,United Kingdom
116280,546236,22570,FELTCRAFT CUSHION RABBIT,4,2011-03-10 12:48:00,3.75,12370.0,Cyprus
73965,542398,21324,HANGING MEDINA LANTERN SMALL,2,2011-01-27 15:36:00,2.95,13174.0,United Kingdom
98144,544672,21669,BLUE STRIPE CERAMIC DRAWER KNOB,96,2011-02-22 15:45:00,1.06,14646.0,Netherlands
457024,575729,20963,APPLE BATH SPONGE,10,2011-11-10 19:49:00,1.25,17932.0,United Kingdom
408011,571926,23207,LUNCH BAG ALPHABET DESIGN,10,2011-10-19 16:41:00,1.65,16722.0,United Kingdom
104660,545188,22030,SWALLOWS GREETING CARD,12,2011-02-28 15:19:00,0.42,14056.0,United Kingdom
336200,566308,22625,RED KITCHEN SCALES,2,2011-09-12 09:38:00,8.5,15865.0,United Kingdom
424415,573265,23393,HOME SWEET HOME CUSHION COVER ,4,2011-10-28 12:39:00,3.75,16150.0,United Kingdom
81161,543113,22829,SWEETHEART WIRE WALL TIDY,2,2011-02-03 13:06:00,9.95,13047.0,United Kingdom
405983,571724,22726,ALARM CLOCK BAKELIKE GREEN,4,2011-10-19 08:20:00,3.75,12572.0,Germany
121074,546732,37448,CERAMIC CAKE DESIGN SPOTTED MUG,1,2011-03-16 11:41:00,1.49,14606.0,United Kingdom
333457,566195,37500,TEA TIME TEAPOT IN GIFT BOX,12,2011-09-09 13:44:00,4.95,12433.0,Norway
357685,568104,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,1,2011-09-23 15:50:00,0.55,16485.0,United Kingdom
358871,568165,22776,SWEETHEART 3 TIER CAKE STAND ,2,2011-09-25 12:42:00,9.95,17131.0,United Kingdom
208603,555124,21121,SET/10 RED POLKADOT PARTY CANDLES,5,2011-05-31 15:26:00,1.25,18204.0,United Kingdom
94193,544336,22289,HANGING METAL CHICKEN DECORATION,2,2011-02-17 19:36:00,1.25,13230.0,United Kingdom
378061,569590,21509,COWBOYS AND INDIANS BIRTHDAY CARD ,12,2011-10-05 11:25:00,0.42,13949.0,United Kingdom
404079,571667,23215,JINGLE BELL HEART ANTIQUE SILVER,11,2011-10-18 13:04:00,2.08,14554.0,United Kingdom
360971,568321,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,2011-09-26 13:36:00,2.95,13639.0,United Kingdom
198053,C554005,21747,SMALL SKULL WINDMILL,-12,2011-05-20 12:23:00,1.25,15620.0,United Kingdom
163523,550612,20726,LUNCH BAG WOODLAND,1,2011-04-19 12:26:00,1.65,14662.0,United Kingdom
491777,578074,23102,SILVER HEARTS TABLE DECORATION,2,2011-11-22 16:06:00,0.83,17590.0,United Kingdom
21743,538117,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-09 15:33:00,1.45,13327.0,United Kingdom
265206,560209,22543,MINI JIGSAW BAKE A CAKE ,2,2011-07-15 14:05:00,0.42,15004.0,United Kingdom
140941,548492,22457,NATURAL SLATE HEART CHALKBOARD ,1,2011-03-31 13:14:00,2.95,17841.0,United Kingdom
336765,566400,22077,6 RIBBONS RUSTIC CHARM,12,2011-09-12 13:16:00,1.95,17139.0,United Kingdom
427679,573396,21810,CHRISTMAS HANGING STAR WITH BELL,3,2011-10-30 15:13:00,0.39,14723.0,United Kingdom
54342,C540942,37448,CERAMIC CAKE DESIGN SPOTTED MUG,-1,2011-01-12 12:30:00,1.49,13113.0,United Kingdom
1108,536526,22113,GREY HEART HOT WATER BOTTLE,8,2010-12-01 12:58:00,3.75,14001.0,United Kingdom
306392,563750,23127,FELTCRAFT GIRL NICOLE KIT,4,2011-08-19 10:18:00,4.95,16122.0,United Kingdom
120973,546686,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-03-16 09:52:00,1.25,14636.0,United Kingdom
72867,542269,22626,BLACK KITCHEN SCALES,2,2011-01-27 09:33:00,8.5,14442.0,Channel Islands
184998,552726,21916,SET 12 RETRO WHITE CHALK STICKS,24,2011-05-11 10:31:00,0.42,14920.0,United Kingdom
223729,556489,23089,GLASS BON BON JAR,1,2011-06-12 13:59:00,1.65,14704.0,United Kingdom
190720,553206,20718,RED RETROSPOT SHOPPER BAG,10,2011-05-16 08:16:00,1.25,14156.0,EIRE
294933,562730,22705,WRAP GREEN PEARS ,50,2011-08-09 10:16:00,0.42,17554.0,United Kingdom
190157,553183,22517,CHILDS GARDEN RAKE PINK,6,2011-05-15 12:31:00,2.1,16076.0,United Kingdom
533748,581108,22217,T-LIGHT HOLDER HANGING LACE,48,2011-12-07 12:16:00,0.39,15984.0,United Kingdom
